Date,Open,High,Low,Close,Volume
29-Dec-21,36.96,38.87,35.53,38.48,"2,037,406"
30-Dec-21,37.75,40,37.5,38.83,"1,561,882"
31-Dec-21,38.41,39.18,37.03,37.1,"1,393,964"
3-Jan-22,37.31,39.85,37.3,38.21,"1,417,001"
4-Jan-22,38.04,38.25,35.76,37.23,"1,834,894"
5-Jan-22,37.1,37.21,32.29,32.34,"3,396,400"
6-Jan-22,33.21,34.42,30.29,32.76,"6,051,480"
7-Jan-22,39.94,40.08,33.13,35.16,"12,137,305"
10-Jan-22,33.75,33.92,30,32.79,"5,511,981"
11-Jan-22,32.53,34.2,31.85,32.58,"2,583,055"
12-Jan-22,32.5,32.83,31.61,32.02,"1,574,509"
13-Jan-22,32.13,32.63,30.42,30.62,"2,225,270"
14-Jan-22,30.04,30.58,28.01,29.16,"3,850,478"
18-Jan-22,28.28,28.44,26.1,27.23,"3,759,403"
19-Jan-22,27.5,28.26,26.1,26.64,"2,403,579"
20-Jan-22,26.98,28.8,25.4,25.67,"2,920,074"
21-Jan-22,25.25,27.55,23.18,26.59,"5,530,011"
24-Jan-22,24.76,25.72,21.57,25.04,"6,267,749"
25-Jan-22,24.23,26.24,23.75,24.95,"3,574,255"
26-Jan-22,25.28,29.75,25.08,25.82,"8,332,540"
27-Jan-22,26.04,26.75,23.22,23.38,"3,669,956"
28-Jan-22,23.85,24.5,21.9,24.48,"4,107,567"
31-Jan-22,24.47,27.45,24.47,27.23,"3,499,273"
1-Feb-22,28.25,29.16,27.07,28.15,"3,461,877"
2-Feb-22,27.59,27.96,24.52,25.01,"3,279,135"
3-Feb-22,25.38,26.74,24.43,24.81,"2,677,519"
4-Feb-22,24.75,26,23.77,25.59,"1,906,791"
7-Feb-22,25.75,26.35,24.69,25.59,"1,759,360"
8-Feb-22,25.44,29.42,25.14,28.9,"4,959,906"
9-Feb-22,28.52,31.18,28.25,31.07,"3,866,895"
10-Feb-22,29.49,32.95,29,30.62,"3,706,537"
11-Feb-22,30.62,32.47,30.19,31.06,"2,824,777"
14-Feb-22,30.73,31.38,29.04,29.27,"2,275,676"
15-Feb-22,30.24,31.81,29.82,31.54,"1,980,089"
16-Feb-22,31.11,33.21,30.98,32.08,"2,001,931"
17-Feb-22,31.69,32.71,30.56,30.85,"1,564,104"
18-Feb-22,31.05,31.41,29.53,30.38,"1,553,539"
22-Feb-22,29.55,30.83,28.55,29.52,"1,539,113"
23-Feb-22,30.31,30.84,28.57,28.72,"1,348,252"
24-Feb-22,26.38,31.43,26.03,31.15,"2,256,212"
25-Feb-22,30.89,31.24,29.12,29.65,"1,710,255"
28-Feb-22,30.25,31.57,29.22,30.84,"1,614,497"
1-Mar-22,30.55,31.47,29.59,29.76,"1,096,021"
2-Mar-22,29.88,30.67,29.09,30.49,"1,310,650"
3-Mar-22,30.74,30.94,29.31,29.6,"1,095,602"
4-Mar-22,29.5,30.13,27.65,27.92,"1,480,013"
7-Mar-22,28.75,28.75,24.03,24.84,"3,147,865"
8-Mar-22,25.26,27.25,24.27,25.75,"2,134,029"
9-Mar-22,26.75,27.22,25.88,26.3,"1,399,597"
10-Mar-22,25.98,26.01,24.56,25.14,"1,395,467"
11-Mar-22,25.67,25.73,23.17,23.17,"2,205,538"
14-Mar-22,23.36,23.58,19.4,19.53,"4,533,614"
15-Mar-22,20.53,21.89,19.67,20.66,"3,528,798"
16-Mar-22,21.28,22.5,20.5,21.72,"2,653,928"
17-Mar-22,21.28,22.4,20.86,21.93,"3,449,120"
18-Mar-22,19.93,24.36,19.73,22.7,"8,922,094"
21-Mar-22,22.5,24.85,22.44,23.55,"3,953,112"
22-Mar-22,23.85,31.45,23.61,30.79,"15,017,227"
23-Mar-22,32.5,37.73,31.64,35.25,"24,599,841"
24-Mar-22,33.5,35.87,31.69,35.6,"9,100,150"
25-Mar-22,35.01,39.54,34.55,37.99,"13,383,870"
28-Mar-22,37.99,47.71,37.89,47.4,"16,316,524"
29-Mar-22,47.06,49.85,40.75,44.98,"18,011,489"
30-Mar-22,43.75,45.83,41.25,41.71,"9,169,186"
31-Mar-22,40.78,43.94,39.63,41.65,"11,242,228"
1-Apr-22,47.23,47.44,38.82,41.25,"13,189,563"
4-Apr-22,41.75,43.31,39.13,42.68,"4,640,077"
5-Apr-22,42,42.11,38,38.4,"3,956,316"
6-Apr-22,37.75,39.82,37.42,39.16,"4,066,958"
7-Apr-22,38.53,39.17,35.39,37.5,"3,827,847"
8-Apr-22,37.27,37.68,35.51,36.55,"2,592,879"
11-Apr-22,35.76,37.06,35.15,36.73,"2,452,979"
12-Apr-22,36.63,38.06,35.42,36.22,"1,999,136"
13-Apr-22,36.03,38.03,35.51,37.67,"2,008,225"
14-Apr-22,37.32,39.13,36.81,37.69,"2,500,583"
18-Apr-22,37.5,37.81,34.31,35.37,"2,467,781"
19-Apr-22,35.71,38.24,34.96,38.12,"2,354,169"
20-Apr-22,38,38.08,36.66,37.21,"1,162,003"
21-Apr-22,37.5,38.28,34.98,35.39,"1,684,367"
22-Apr-22,35.64,36.58,33.89,34.56,"1,569,608"
25-Apr-22,33.85,34.93,33.32,33.99,"1,534,779"
26-Apr-22,33.91,34.2,31.54,31.9,"1,545,724"
27-Apr-22,31.82,33.17,31.15,32.46,"1,305,874"
28-Apr-22,32.57,33.15,30.13,32.33,"1,771,223"
29-Apr-22,31.83,32.72,30.75,31.27,"1,285,855"
2-May-22,30.91,31.35,28.18,29.89,"2,542,986"
3-May-22,29.62,31.11,28.61,30.11,"1,828,171"
4-May-22,29.8,31.94,28.93,31.77,"1,662,823"
5-May-22,30.99,31.17,28.78,29.78,"1,753,862"
6-May-22,29.32,30.14,27.56,28.68,"1,790,408"
9-May-22,27.7,27.7,24.52,24.7,"3,316,234"
10-May-22,25.75,26.52,22,23.38,"4,150,803"
11-May-22,23.37,23.82,20,20.33,"4,170,343"
12-May-22,20.76,27.02,19.44,22.39,"10,034,940"
13-May-22,24.75,26.69,23.76,24.6,"5,982,716"
16-May-22,24.7,24.79,22.7,22.95,"2,895,531"
17-May-22,23.48,25.1,22.8,25.1,"2,611,237"
18-May-22,24.1,24.96,22.54,22.87,"2,890,032"
19-May-22,22.81,25.49,22.54,24.8,"3,180,135"
20-May-22,24.95,25.6,22.44,23.92,"2,493,024"
23-May-22,24.14,24.32,22.88,24.03,"1,748,481"
24-May-22,23.51,23.55,21.68,22.29,"2,219,870"
25-May-22,22.54,28.87,22.54,28.79,"10,015,001"
26-May-22,29,37.12,28.68,32.12,"14,473,080"
27-May-22,35.25,35.92,31.75,34.3,"7,511,269"
31-May-22,34.3,34.98,30.13,31.19,"4,771,082"
1-Jun-22,30.71,32.4,29.25,30.35,"3,747,933"
2-Jun-22,29.75,34.13,28.89,33.5,"6,979,691"
3-Jun-22,32.5,34.53,31.06,33.42,"4,558,613"
6-Jun-22,33.83,34.03,31.76,32.03,"2,383,230"
7-Jun-22,32.5,37.47,31.58,36.63,"6,241,867"
8-Jun-22,35.35,38.25,33.96,34.68,"6,118,380"
9-Jun-22,34.7,34.98,31.84,32.24,"3,283,813"
10-Jun-22,31.5,32.98,30.79,32.27,"2,957,549"
13-Jun-22,30.13,31.14,28.58,29.56,"3,448,204"
14-Jun-22,29.39,32,29.03,31.54,"3,184,785"
15-Jun-22,31.24,32.99,30.91,32.32,"2,691,071"
16-Jun-22,31.24,32.32,30.15,31.43,"2,498,764"
17-Jun-22,31.72,33.96,31.58,33.78,"3,085,227"
21-Jun-22,34.56,36.35,33.88,35.07,"3,128,067"
22-Jun-22,34.67,36.18,34.11,34.62,"1,961,729"
23-Jun-22,35.41,36,34.18,35.51,"1,670,725"
24-Jun-22,35.75,37.09,32.88,33.8,"4,248,941"
27-Jun-22,34.12,34.26,31.83,32.42,"2,436,362"
28-Jun-22,32.75,32.83,30.57,31.1,"1,655,399"
29-Jun-22,30.39,31.62,29.9,30.72,"1,706,624"
30-Jun-22,29.84,31.65,29.44,30.58,"1,679,668"
1-Jul-22,30.28,31.29,29.82,30.86,"1,654,279"
5-Jul-22,30.38,30.62,29.75,30.06,"1,511,440"
