Date,Open,High,Low,Close,Volume
22-Feb-21,103.35,104.57,103.11,103.24,"1,367,533"
23-Feb-21,101.25,104.1,100.1,103.54,"1,667,377"
24-Feb-21,102.09,105.04,101.91,104.76,"1,248,349"
25-Feb-21,103.37,104.74,101.06,101.57,"1,828,432"
26-Feb-21,102.53,103.55,100.8,101.84,"2,083,801"
1-Mar-21,102.83,104.33,102.31,104.08,"1,405,115"
2-Mar-21,103.81,105.22,103.56,103.79,"1,134,595"
3-Mar-21,103.36,104.43,100.5,101.34,"1,484,181"
4-Mar-21,101.17,104.46,101.01,102.45,"2,118,006"
5-Mar-21,103.66,105.91,102.32,105.43,"2,195,218"
8-Mar-21,105.06,106.44,101.08,101.21,"1,647,429"
9-Mar-21,103.5,103.9,102.39,102.64,"1,697,306"
10-Mar-21,103.59,103.75,101.67,102.75,"1,268,592"
11-Mar-21,103.7,106.29,103.62,105.74,"1,239,080"
12-Mar-21,104.25,104.51,102.38,103.1,"1,725,794"
15-Mar-21,103.12,103.35,102.18,103.32,"1,298,325"
16-Mar-21,103.95,106.18,103.5,104.63,"1,491,564"
17-Mar-21,103.8,105.49,102.7,104.55,"1,299,016"
18-Mar-21,103.05,103.78,101.68,101.81,"1,362,430"
19-Mar-21,102.1,102.66,100.88,102.16,"2,314,893"
22-Mar-21,102.09,102.9,101.3,101.93,"1,954,816"
23-Mar-21,102.59,103.62,101.96,102.65,"1,366,997"
24-Mar-21,103.27,103.91,102.08,102.25,"1,154,029"
25-Mar-21,102.24,102.94,100.54,102.22,"1,418,907"
26-Mar-21,101.94,102.55,100.7,101.78,"1,493,800"
29-Mar-21,101.39,102.92,100.78,102.8,"1,229,777"
30-Mar-21,102.88,103.54,102.2,102.78,"1,036,774"
31-Mar-21,102.96,104.67,102.84,103.43,"1,459,930"
1-Apr-21,104.9,107.15,104.84,106.89,"1,698,978"
5-Apr-21,107.65,111.87,107.58,111.28,"2,164,875"
6-Apr-21,111.13,111.88,110.74,111.24,"1,353,036"
7-Apr-21,111.31,112.75,111.27,112.48,"1,289,861"
8-Apr-21,113.9,114.2,112.88,113.27,"1,358,259"
9-Apr-21,112.84,114.45,112.69,114.29,"1,044,365"
12-Apr-21,113.31,113.77,111.92,112.74,"1,565,851"
13-Apr-21,113.07,113.86,112.8,113.36,"1,165,804"
14-Apr-21,113.76,113.9,112.46,112.74,"1,010,967"
15-Apr-21,113.85,115.33,113.3,114.83,"1,373,612"
16-Apr-21,115.15,115.32,114.22,114.89,"1,130,090"
19-Apr-21,114.6,115.92,114.39,115.12,"1,234,445"
20-Apr-21,115.39,115.48,113.59,114.68,"1,088,749"
21-Apr-21,114.26,114.77,112.93,114.66,"1,196,731"
22-Apr-21,114.66,115.19,112.82,113.4,"1,054,808"
23-Apr-21,114.17,116.29,113.91,115.77,"1,435,162"
26-Apr-21,116,117.06,115.69,116.34,"1,041,650"
27-Apr-21,116.8,116.87,115.21,115.36,"1,598,583"
28-Apr-21,120.36,122.62,118.74,119,"2,986,439"
29-Apr-21,120.52,121.83,120.11,121.49,"1,977,677"
30-Apr-21,120.22,121.36,120.11,120.51,"1,957,130"
3-May-21,120.14,120.99,119.23,119.76,"1,689,389"
4-May-21,118.49,118.96,115.59,117.71,"1,756,015"
5-May-21,118.42,119.11,117.57,117.84,"1,090,275"
6-May-21,117.53,119.14,117.12,119.07,"1,030,859"
7-May-21,120,120.82,119.5,119.93,"1,163,892"
10-May-21,118.74,118.9,116.74,117.08,"1,300,271"
11-May-21,114.59,116.1,114.15,115.44,"1,605,548"
12-May-21,113.09,114.27,111.5,111.95,"1,746,664"
13-May-21,113.05,113.83,112.14,113.1,"1,333,508"
14-May-21,114.59,116.06,114.17,115.81,"1,331,248"
17-May-21,115.47,116.17,114.75,116.07,"992,416"
18-May-21,116.85,117.16,115.16,115.17,"865,119"
19-May-21,113.22,115.84,113.18,115.44,"967,544"
20-May-21,116.4,118.02,116.05,117.8,"1,191,593"
21-May-21,118.3,118.45,117.12,117.26,"1,141,632"
24-May-21,118.35,120.92,118.01,120.33,"1,062,189"
25-May-21,121,121.64,120.15,120.45,"941,928"
26-May-21,120.64,122.15,120.63,121.68,"1,092,819"
27-May-21,121.85,122,120.1,120.13,"1,948,113"
28-May-21,121.1,121.41,120.38,120.58,"1,205,382"
1-Jun-21,121.1,121.9,120.24,121.49,"958,289"
2-Jun-21,121.77,122.1,120.21,121.06,"858,105"
3-Jun-21,119.75,120.49,119.14,120.23,"917,291"
4-Jun-21,121.13,122.69,120.89,122.59,"1,297,434"
7-Jun-21,122.57,123.4,122.05,123.3,"1,192,453"
8-Jun-21,124,124.72,123.41,124.14,"1,253,253"
9-Jun-21,124.98,125.25,124.37,124.57,"1,006,337"
10-Jun-21,124.7,126.16,124.7,126.08,"1,561,733"
11-Jun-21,126.25,126.35,124.91,125.7,"1,262,309"
14-Jun-21,125.67,126.41,125.05,126.35,"1,127,522"
15-Jun-21,126.52,126.86,125.65,126.03,"1,109,130"
16-Jun-21,126.25,126.52,124.15,125.7,"1,315,838"
17-Jun-21,125.52,127.2,125.52,126.37,"1,287,791"
18-Jun-21,125.71,126.39,124.6,125.57,"2,665,310"
21-Jun-21,125.74,127.04,125.13,126.46,"1,312,826"
22-Jun-21,126.45,127.27,126.03,127,"1,049,310"
23-Jun-21,126.55,127.8,126.25,126.46,"984,658"
24-Jun-21,127.05,127.54,126.96,127.28,"946,662"
25-Jun-21,126.96,127.51,126.44,127,"1,674,297"
28-Jun-21,127,127.34,125.97,126.82,"1,405,543"
29-Jun-21,126.77,127,125.44,126.02,"1,047,478"
30-Jun-21,125.65,125.8,124.76,125.32,"1,200,478"
